Nomor Inventaris,Nama Mesin,Merk,Tanggal Pembelian,Location,Made In,Kondisi Mesin,Mesin Yang Tersedia,Kelompok Mesin
TW-MPP-00001,Mesin Jarum 1  S7180A,Brother,2021-10-21 00:00:00,TW1,Vietnam,Rusak,1,SN
TW-MPP-00002,Mesin Jarum 1 S7100A,Brother,2019-04-12 00:00:00,TW38,Vietnam,Normal,1,SN
TW-MPP-00003,Steam Boiler Listrik,Nissin,2020-04-06 00:00:00,TW38,China,Normal,1,Helper
TW-MPP-00004,Mesin Jarum 1  S7180A,Brother,2021-10-21 00:00:00,TW38,Vietnam,Normal,1,SN
TW-MPP-00005,Mesin Jarum 1 (DDL-900B,Juki,2018-09-27 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00006,Mesin Jarum 1  S7180A,Brother,2021-10-21 00:00:00,TW1,Vietnam,Normal,1,SN
TW-MPP-00007,Mesin Jarum 1 S7100A,Brother,2020-07-13 00:00:00,TW1,Vietnam,Normal,1,SN
TW-MPP-00008,Mesin Jarum 1 S7100A,Brother,2019-04-12 00:00:00,TW1,Vietnam,Normal,1,SN
TW-MPP-00009,Mesin Jarum 1 S7100A,Brother,2019-04-12 00:00:00,TW38,Vietnam,Normal,1,SN
TW-MPP-00011,Mesin Jarum 1  S7180A,Brother,2022-06-01 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00012,Mesin Jarum 1  S7180A,Brother,2022-06-01 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00013,Mesin Jarum 1  S7180A,Brother,2022-08-01 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00015,Mesin Jarum 1  S7180A,Brother,2023-04-12 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00016,Mesin Bordir Dua Kepala,Azura,2019-07-01 00:00:00,TW1,China,Normal,1,Helper
TW-MPP-00017,Mesin Potong Pola Kertas,J-Wei,2019-04-12 00:00:00,TW1,China,Normal,1,Manual
TW-MPP-00018,Mesin Gulung Benang WJ-20S,Weijie,2023-04-03 00:00:00,TW1,China,Normal,1,Threader
TW-MPP-00019,Mesin Jarum 1 S7100A,Brother,2021-10-21 00:00:00,TW38,Vietnam,Normal,1,SN
TW-MPP-00020,Mesin Jarum 1 S7100A,Brother,2020-07-13 00:00:00,TW38,Vietnam,Normal,1,SN
TW-MPP-00021,Mesin Jarum 1  S7180A,Brother,2023-04-12 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00022,Mesin Jarum 1  S7180A,Brother,2023-04-12 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00023,Mesin Jarum 1  S7180A,Brother,2022-08-01 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00024,Mesin Pasang Tangan,Durkop,2021-03-25 00:00:00,TW1,Germany,Normal,1,Lain-lain
TW-MPP-00025,Mesin Jarum 1 S7100A,Brother,2020-07-13 00:00:00,TW38,Vietnam,Normal,1,SN
TW-MPP-00026,Mesin Jarum 1 S7100A,Brother,2019-04-12 00:00:00,TW1,Vietnam,Normal,1,SN
TW-MPP-00028,Mesin Obras MO-6800JUKI,Juki,2018-08-07 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00029,Mesin Jarum 1 S7100A,Brother,2020-07-13 00:00:00,TW1,Vietnam,Normal,1,SN
TW-MPP-00030,Mesin Jarum 1  S7180A,Brother,2023-04-12 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00031,Mesin Jarum 1  S7180A,Brother,2023-04-12 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00281,Mesin jarum 1 S-7180a ,Brother,2021-10-26 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00033,Mesin Obras MO-6816D JUKI,Juki,2023-02-24 00:00:00,TW38,China,Normal,1,OL 3
TW-MPP-00471,Mesin Soom JC 9330-0,Brother,2025-07-03 00:00:00,TW38,China,Normal,1,Soom
TW-MPP-00035,Mesin Jarum 1  S7180A,Brother,2023-04-12 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00037,Mesin Press NS-450MS,Nissin,2022-11-08 00:00:00,TW1,Indonesia,Normal,1,Maica
TW-MPP-00038,Mesin Press HP-900LFS,Hashima,2019-04-12 00:00:00,TW1,Jepang,Normal,1,Maica
TW-MPP-00039,Mesin Lubang Kancing QQ RH-982A,Brother,2022-08-01 00:00:00,TW1,China,Normal,1,Mesin QQ
TW-MPP-00040,Mesin BASS HOKI,Hoki,2023-04-19 00:00:00,TW1,Indonesia,Normal,1,Bass
TW-MPP-00041,Mesin Make Up MS-1190,Juki,2022-07-01 00:00:00,TW1,China,Normal,1,Makeup
TW-MPP-00042,Mesin Bobok Kantong APW-895N,Juki,2022-09-01 00:00:00,TW1,Indonesia,Normal,1,APW
TW-MPP-00043,Mesin Pasang Kancing  BE-438 C,Brother,2010-02-01 00:00:00,TW1,China,Rusak,1,Pasang Kancing
TW-MPP-00044,Mesin Lubang Kancing HE-800C-2,Brother,2020-02-13 00:00:00,TW1,China,Normal,1,Button Holer
TW-MPP-00046,Mesin Jarum 1  S7180A,Brother,2022-10-01 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00047,Mesin Jarum 1  S7180A,Brother,2022-10-01 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00048,Mesin Jarum 1  S7180A,Brother,2022-10-01 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00049,Mesin Obras MO-6816S JUKI,Juki,2022-07-01 00:00:00,TW1,China,Normal,1,OL 3
TW-MPP-00507,Mesin Make Up MS-1190,Juki,2024-11-01 00:00:00,TW1,China,Normal,1,Makeup
TW-MPP-00055,Mesin Press Buaya,,2019-04-12 00:00:00,TW1,China,Rusak,1,Maica
TW-MPP-00056,Mesin Jarum 1 S7100,Brother,2005-12-05 00:00:00,TW1,Indonesia,Normal,1,SN
TW-MPP-00057,Mesin Jarum 1 Manual FY8700,Feiyue,2008-05-10 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00058,Mesin Jarum 1  ZJ9701R-D3,Zoje,2011-11-28 00:00:00,TERJUAL,China,Terjual,1,SN
TW-MPP-00059,Mesin Jarum 1  ZJ9701R-D3,Zoje,2011-11-23 00:00:00,TERJUAL,China,Terjual,1,SN
TW-MPP-00060,Mesin Jarum 1  ZJ9701R-D2,Zoje,2009-12-23 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00062,Mesin Jarum 1  ZJ9701R-D3,Zoje,2011-11-28 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00063,Mesin Jarum 1  ZJ9701R-D2,Zoje,2009-12-23 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00064,Mesin Jarum 1  ZJ9701R-D2,Zoje,2009-12-23 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00065,Mesin Jarum 1  ZJ9701R-D2,Zoje,2009-12-23 00:00:00,TW1,China,Normal,1,SN
TW-MPP-00066,Meja Gosok,,2010-02-01 00:00:00,TW1,China,Normal,1,Ironning
TW-MPP-00067,Meja gosok,,2016-01-01 00:00:00,TW1,Jepang,Normal,1,Ironning
TW-MPP-00068,Mesin Bartack KE-430FS,Brother,2019-04-12 00:00:00,TW38,China,Normal,1,Bartack
TW-MPP-00069,Mesin Jarum 1 (DDL-900B),Juki,2018-09-27 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00071,Mesin Ban Karet YAMATA,Yamata,2008-04-10 00:00:00,TW38,China,Normal,1,"Kansai 7/8""+Cr"
TW-MPP-00072,Mesin Jarum 1  ZJ9701R-D2,Zoje,2009-12-23 00:00:00,TERJUAL,China,Terjual,1,SN
TW-MPP-00073,Mesin Jarum 1 (DDL-900B),Juki,2018-09-27 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00074,Mesin Jarum 1 (DDL-900B),Juki,2021-10-21 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00075,Steam Boiler Listrik,Nissin,2020-04-06 00:00:00,TW1,China,Normal,1,Helper
TW-MPP-00076,Mesin Bartack KE-430FS,Brother,2018-07-01 00:00:00,TW1,China,Normal,1,Bartack
,--,,,TIDAK DITEMUKAN,,Normal,1,Manual
TW-MPP-00079,Mesin SIDE CUTTER GC6170 ,Typical,2013-12-01 00:00:00,TW38,China,Normal,1,SC
TW-MPP-00080,Mesin Jarum 2 Brother T-8450C-003,Brother,2024-12-30 00:00:00,TW38,China,Normal,1,SN
TW-MPP-00081,Mesin Pasang Kancing BE-438 D,Brother,2007-08-08 00:00:00,TW1,China,Rusak,1,Pasang Kancing
TW-MPP-00082,Mesin Obras Corong M700 HOKI,Hoki,2023-04-03 00:00:00,TW38,China,Normal,1,OL 4 + Cr
TW-MPP-00083,Mesin Tandem GC0058,Typical,2016-09-01 00:00:00,TW38,China,Normal,1,Tandem
TW-MPP-00084,Mesin Tali Loop(Over Deck) FY2700,Feiyue,2009-04-01 00:00:00,TW1,China,Normal,1,Overdeck
TW-MPP-00086,Mesin Make Up DA-927086,Brother,2021-01-18 00:00:00,TW38,China,Normal,1,Makeup
TW-MPP-00472,Mesin Soom JC 9330-0,Brother,2025-08-03 00:00:00,TW38,China,Normal,1,Soom
TW-MPP-00089,Mesin Jarum 2 GC842,Nissin,2016-09-01 00:00:00,TW38,China,Normal,1,SN
